timestep,consumption_eur
2008-01-23,99118.25
2008-01-24,99263.125
2008-01-25,98533.66666666667
2008-01-26,93707.83333333333
2008-01-27,91663.66666666667
2008-01-28,97918.16666666667
2008-01-29,98517.41666666667
2008-01-30,98692.75
2008-01-31,98591.95833333333
2008-02-01,97574.66666666667
2008-02-02,93574.33333333333
2008-02-03,90897.04166666667
2008-02-04,96796.29166666667
2008-02-05,97513.91666666667
2008-02-06,97055.45833333333
2008-02-07,96937.08333333333
2008-02-08,97639.16666666667
2008-02-09,92594.70833333333
2008-02-10,90652.375
2008-02-11,96280.45833333333
2008-02-12,96889.0
2008-02-13,96314.25
2008-02-14,96946.0
2008-02-15,96903.29166666667
2008-02-16,92585.33333333333
2008-02-17,91078.70833333333
2008-02-18,96816.875
2008-02-19,97560.54166666667
2008-02-20,97830.95833333333
2008-02-21,97733.08333333333
2008-02-22,96150.0
2008-02-23,90149.5
2008-02-24,89032.16666666667
2008-02-25,88929.625
2008-02-26,94753.33333333333
2008-02-27,94112.875
2008-02-28,93422.41666666667
2008-02-29,92538.08333333333
2008-03-01,88079.0
2008-03-02,86278.45833333333
2008-03-03,91675.375
2008-03-04,91966.45833333333
2008-03-05,91878.0
2008-03-06,91669.5
2008-03-07,90262.875
2008-03-08,84979.5
2008-03-09,84062.70833333333
2008-03-10,85129.875
2008-03-11,90605.95833333333
2008-03-12,90644.33333333333
2008-03-13,91104.58333333333
2008-03-14,90039.33333333333
2008-03-15,85109.58333333333
2008-03-16,84231.04166666667
2008-03-17,90661.79166666667
2008-03-18,90760.625
2008-03-19,90359.83333333333
2008-03-20,90360.5
2008-03-21,90092.375
2008-03-22,85591.375
2008-03-23,83977.83333333333
2008-03-24,89460.83333333333
2008-03-25,88880.33333333333
2008-03-26,88647.29166666667
2008-03-27,88078.79166666667
2008-03-28,87561.29166666667
2008-03-29,81880.625
2008-03-30,81370.625
2008-03-31,86654.08333333333
2008-04-01,86040.20833333333
2008-04-02,84063.16666666667
2008-04-03,84839.45833333333
2008-04-04,84471.08333333333
2008-04-05,80148.625
2008-04-06,78369.625
2008-04-07,84058.91666666667
2008-04-08,83812.54166666667
2008-04-09,83346.25
2008-04-10,83090.5
2008-04-11,82592.75
2008-04-12,78115.125
2008-04-13,76136.91666666667
2008-04-14,82487.66666666667
2008-04-15,83049.16666666667
2008-04-16,84063.91666666667
2008-04-17,84298.16666666667
2008-04-18,84035.95833333333
2008-04-19,78786.875
2008-04-20,77443.16666666667
2008-04-21,83289.875
2008-04-22,82615.5
2008-04-23,81878.5
2008-04-24,82440.83333333333
2008-04-25,81707.58333333333
2008-04-26,77315.625
2008-04-27,75166.375
2008-04-28,81022.91666666667
2008-04-29,80314.5
2008-04-30,78776.0
2008-05-01,71549.08333333333
2008-05-02,70999.95833333333
2008-05-03,71317.375
2008-05-04,76877.29166666667
2008-05-05,77118.83333333333
2008-05-06,77012.95833333333
2008-05-07,77760.08333333333
2008-05-08,77723.54166666667
2008-05-09,72189.875
2008-05-10,71920.08333333333
2008-05-11,70435.54166666667
2008-05-12,76298.91666666667
2008-05-13,76548.875
2008-05-14,76742.95833333333
2008-05-15,77771.75
2008-05-16,77990.41666666667
2008-05-17,73320.95833333333
2008-05-18,70927.04166666667
2008-05-19,75994.875
2008-05-20,76193.04166666667
2008-05-21,76777.41666666667
2008-05-22,77298.20833333333
2008-05-23,77214.0
2008-05-24,73463.08333333333
2008-05-25,72186.375
2008-05-26,77388.79166666667
2008-05-27,77939.41666666667
2008-05-28,77778.375
2008-05-29,77299.79166666667
